1345950103672, Start init function
1345950103673, Start hlinks desktop fix
1345950103673, End hlinks desktop fix
1345950103673, Start AJAX in of content
1345950103696, Done AJAX in of content
1345950103773, Start theme init
1345950103773, Start navcurrent
1345950103780, End navcurrent
1345950103781, End theme init
1345950103781, Start DOM swarm
1345950103782, End DOM swarm
1345950103782, Start poly and dep array push
1345950103782, End poly and dep array push
1345950103783, Start polyload
1345950103783, End polyload
1345950103794, Polyfill init start
1345950103794, Polyfill init end
1345950103794, Polyfill dependency push start
1345950103794, Polyfill dependency push end
1345950103870, Start polyload
1345950103871, End polyload
1345950103871, Start polyfill depend init
1345950103871, End polyfill depend init
1345950103871, Start plugin calls
1345950103871, Start menubar plugin call
1345950103922, End menubar plugin call
1345950103922, Start charts plugin call
1345950104127, End charts plugin call, 205ms execution time
1345950104127, Start charts plugin call
1345950104130, End charts plugin call, 3ms execution time
1345950104130, Start charts plugin call
1345950104131, End charts plugin call, 1ms execution time
1345950104131, Start charts plugin call
1345950104131, End charts plugin call, 0ms execution time
1345950104131, Start charts plugin call
1345950104132, End charts plugin call, 1ms execution time
1345950104132, Start charts plugin call
1345950104133, End charts plugin call, 1ms execution time
1345950104133, Start charts plugin call
1345950104134, End charts plugin call, 1ms execution time
1345950104134, End plugin calls
1345950104134, Start global plugin calls
1345950104135, End global plugin calls



Cached:
1345950158368, Start init function
1345950158371, Start hlinks desktop fix
1345950158371, End hlinks desktop fix
1345950158371, Start AJAX in of content
1345950158374, Done AJAX in of content
1345950158432, Start theme init
1345950158433, Start navcurrent
1345950158434, End navcurrent
1345950158434, End theme init
1345950158434, Start DOM swarm
1345950158437, End DOM swarm
1345950158437, Start poly and dep array push
1345950158437, End poly and dep array push
1345950158437, Start polyload
1345950158438, End polyload
1345950158475, Polyfill init start
1345950158475, Polyfill init end
1345950158475, Polyfill dependency push start
1345950158475, Polyfill dependency push end
1345950158554, Start polyload
1345950158554, End polyload
1345950158554, Start polyfill depend init
1345950158554, End polyfill depend init
1345950158554, Start plugin calls
1345950158555, Start menubar plugin call
1345950158567, End menubar plugin call
1345950158567, Start charts plugin call
1345950158774, End charts plugin call, 207ms execution time
1345950158774, Start charts plugin call
1345950158777, End charts plugin call, 3ms execution time
1345950158777, Start charts plugin call
1345950158778, End charts plugin call, 1ms execution time
1345950158778, Start charts plugin call
1345950158779, End charts plugin call, 1ms execution time
1345950158779, Start charts plugin call
1345950158779, End charts plugin call, 0ms execution time
1345950158779, Start charts plugin call
1345950158780, End charts plugin call, 1ms execution time
1345950158780, Start charts plugin call
1345950158781, End charts plugin call, 1ms execution time
1345950158781, End plugin calls
1345950158781, Start global plugin calls
1345950158782, End global plugin calls
